zip,name,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,city,stabbr,cty_name,coastalZip,coastalCounty,ALLCoastalCounty,state
90638,"LA MIRADA, CA",H,17603,H,307777,H,1260101,1099,LA MIRADA,CA,LOS ANGELES,0,1,0,California
90639,"LA MIRADA, CA",J,2510,J,23282,J,90840,6,LA MIRADA,CA,LOS ANGELES,0,1,0,California
90640,"MONTEBELLO, CA",G,19311,G,249411,G,999917,1370,MONTEBELLO,CA,LOS ANGELES,0,1,0,California
90650,"NORWALK, CA",G,16257,G,228308,G,958239,1304,NORWALK,CA,LOS ANGELES,0,1,0,California
90660,"PICO RIVERA, CA",G,15016,G,206613,G,825085,918,PICO RIVERA,CA,LOS ANGELES,0,1,0,California
90670,"SANTA FE SPRINGS, CA",G,58770,G,943690,G,3961131,2171,SANTA FE SPRINGS,CA,LOS ANGELES,0,1,0,California
90680,"STANTON, CA",G,7219,G,86744,G,353175,584,STANTON,CA,ORANGE,0,1,0,California
90701,"ARTESIA, CA",G,7209,G,87221,G,391220,699,ARTESIA,CA,LOS ANGELES,0,1,0,California
90703,"CERRITOS, CA",G,40809,G,657280,G,2499717,1970,CERRITOS,CA,LOS ANGELES,0,1,0,California
90704,"AVALON, CA",G,2248,H,27629,G,121527,210,AVALON,CA,LOS ANGELES,1,1,0,California
90706,"BELLFLOWER, CA",G,11070,G,125525,G,518891,1190,BELLFLOWER,CA,LOS ANGELES,0,1,0,California
90710,"HARBOR CITY, CA",G,8584,G,148787,G,648282,524,HARBOR CITY,CA,LOS ANGELES,0,1,0,California
90712,"LAKEWOOD, CA",G,10554,H,109484,H,434623,763,LAKEWOOD,CA,LOS ANGELES,0,1,0,California
90713,"LAKEWOOD, CA",G,3179,G,26273,G,111273,371,LAKEWOOD,CA,LOS ANGELES,0,1,0,California
90715,"LAKEWOOD, CA",G,1018,G,9103,G,37742,194,LAKEWOOD,CA,LOS ANGELES,0,1,0,California
90716,"HAWAIIAN GARDENS, CA",G,2821,G,30087,G,131037,192,HAWAIIAN GARDENS,CA,LOS ANGELES,0,1,0,California
90717,"LOMITA, CA",G,3842,G,36865,G,157804,563,LOMITA,CA,LOS ANGELES,0,1,0,California
90720,"LOS ALAMITOS, CA",H,15195,H,261439,H,1099160,1244,LOS ALAMITOS,CA,ORANGE,0,1,0,California
90723,"PARAMOUNT, CA",G,17896,G,250919,G,988069,1146,PARAMOUNT,CA,LOS ANGELES,0,1,0,California
90731,"SAN PEDRO, CA",G,9371,G,126023,G,550397,976,SAN PEDRO,CA,LOS ANGELES,1,1,0,California
90732,"SAN PEDRO, CA",H,4351,H,54851,H,226475,407,SAN PEDRO,CA,LOS ANGELES,1,1,0,California
90740,"SEAL BEACH, CA",G,11439,H,265275,H,891194,766,SEAL BEACH,CA,ORANGE,1,1,0,California
90742,"SUNSET BEACH, CA",H,403,H,4139,H,18638,42,SUNSET BEACH,CA,ORANGE,1,1,0,California
90743,"SURFSIDE, CA",H,48,H,426,G,1256,8,SURFSIDE,CA,ORANGE,1,1,0,California
90744,"WILMINGTON, CA",G,9359,H,208995,G,691192,701,WILMINGTON,CA,LOS ANGELES,1,1,0,California
90745,"CARSON, CA",G,14578,G,290827,G,985884,867,CARSON,CA,LOS ANGELES,0,1,0,California
90746,"CARSON, CA",G,19507,G,252485,G,1041677,805,CARSON,CA,LOS ANGELES,0,1,0,California
90747,"CARSON, CA",H,779,H,8244,H,33363,10,CARSON,CA,LOS ANGELES,0,1,0,California
90755,"SIGNAL HILL, CA",G,12756,G,249816,G,1012735,745,SIGNAL HILL,CA,LOS ANGELES,0,1,0,California
90802,"LONG BEACH, CA",G,23520,G,530425,G,1845808,1392,LONG BEACH,CA,LOS ANGELES,1,1,0,California
