fipstate,fipscty,naics,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,full_fips,coastalCounty,ALLCoastalCounty
06,095,44413,G,223,G,2320,G,10086,14,6,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,444130,G,223,G,2320,G,10086,14,6,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,44419,G,177,G,2569,G,11572,22,10,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,444190,G,177,G,2569,G,11572,22,10,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,4442,J,37,H,277,G,1229,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,44422,J,37,H,277,G,1229,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,444220,J,37,H,277,G,1229,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,445,G,3823,G,33182,G,139039,175,79,33,17,16,19,11,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,4451,G,3465,G,30809,G,128366,114,44,18,8,14,19,11,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,44511,G,3238,G,29138,G,121175,75,21,6,5,14,18,11,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,445110,G,3238,G,29138,G,121175,75,21,6,5,14,18,11,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,44512,H,227,H,1671,H,7191,39,23,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,445120,H,227,H,1671,H,7191,39,23,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,4452,G,217,G,1399,G,6363,27,12,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,44521,G,37,G,285,G,1134,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,445210,G,37,G,285,G,1134,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,44523,G,12,G,79,H,486,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,445230,G,12,G,79,H,486,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,44529,G,168,G,1035,G,4743,19,7,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,445291,J,17,J,113,J,497,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,445292,G,91,G,681,G,3303,9,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,445299,H,60,H,241,H,943,7,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,4453,H,141,G,974,G,4310,34,23,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,44531,H,141,G,974,G,4310,34,23,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,445310,H,141,G,974,G,4310,34,23,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,446,G,1157,H,14108,H,53528,77,25,19,11,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,4461,G,1157,H,14108,H,53528,77,25,19,11,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,44611,H,644,H,11018,H,40645,24,NA,NA,6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,446110,H,644,H,11018,H,40645,24,NA,NA,6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,44612,G,275,G,1507,G,6200,22,8,7,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,446120,G,275,G,1507,G,6200,22,8,7,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,44613,J,109,H,826,H,3265,13,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,446130,J,109,H,826,H,3265,13,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,44619,H,129,G,757,H,3418,18,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,446191,G,29,G,185,G,803,10,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,446199,J,100,H,572,H,2615,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,447,G,899,G,7126,G,30152,106,27,47,28,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,4471,G,899,G,7126,G,30152,106,27,47,28,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,44711,G,834,G,6540,G,27544,95,22,42,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,447110,G,834,G,6540,G,27544,95,22,42,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,44719,G,65,G,586,G,2608,11,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,447190,G,65,G,586,G,2608,11,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,448,G,2676,G,14278,G,59602,162,34,50,34,32,10,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,4481,G,1981,G,9993,G,42482,110,23,29,24,24,9,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,44811,J,50,H,420,H,1531,9,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,448110,J,50,H,420,H,1531,9,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,44812,G,249,G,892,H,3895,23,7,8,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,448120,G,249,G,892,H,3895,23,7,8,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,44813,H,40,J,205,H,829,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,448130,H,40,J,205,H,829,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,44814,G,1454,G,7401,G,31767,53,3,9,13,19,8,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
