ZIP,shore,FIPS,LDB,nonp,State,State_FIPS
4551,1,23015,1,0,ME,23
4553,1,23015,1,0,ME,23
4554,1,23015,1,0,ME,23
4555,1,23015,1,0,ME,23
4556,1,23015,1,0,ME,23
4558,1,23015,1,0,ME,23
4562,1,23023,1,0,ME,23
4563,1,23013,1,0,ME,23
4564,1,23015,1,0,ME,23
4568,1,23015,1,0,ME,23
4570,1,23015,1,0,ME,23
4571,1,23015,1,0,ME,23
4572,1,23015,1,0,ME,23
4573,1,23015,1,0,ME,23
4575,1,23015,1,0,ME,23
4576,1,23015,1,0,ME,23
4578,1,23015,1,0,ME,23
4579,1,23023,1,0,ME,23
4605,1,23009,1,0,ME,23
4606,1,23029,1,0,ME,23
4607,1,23009,1,0,ME,23
4609,1,23009,1,0,ME,23
4611,1,23029,1,0,ME,23
4612,1,23009,1,0,ME,23
4613,1,23009,1,0,ME,23
4614,1,23009,1,0,ME,23
4616,1,23009,1,0,ME,23
4617,1,23009,1,0,ME,23
4619,1,23029,1,0,ME,23
4622,1,23029,1,0,ME,23
4623,1,23029,1,0,ME,23
4624,1,23009,1,0,ME,23
4625,1,23009,1,0,ME,23
4626,1,23029,1,0,ME,23
4627,1,23009,1,0,ME,23
4628,1,23029,1,0,ME,23
4630,1,23029,1,0,ME,23
4631,1,23029,1,0,ME,23
4634,1,23009,1,0,ME,23
4635,1,23009,1,0,ME,23
4640,1,23009,1,0,ME,23
4642,1,23009,1,0,ME,23
4643,1,23029,1,0,ME,23
4645,1,23013,1,0,ME,23
4646,1,23009,1,0,ME,23
4648,1,23029,1,0,ME,23
4649,1,23029,1,0,ME,23
4650,1,23009,1,0,ME,23
4652,1,23029,1,0,ME,23
4653,1,23009,1,0,ME,23
4654,1,23029,1,0,ME,23
4655,1,23029,1,0,ME,23
4658,1,23029,1,0,ME,23
4660,1,23009,1,0,ME,23
4662,1,23009,1,0,ME,23
4662,1,23009,1,0,ME,23
4664,1,23009,1,0,ME,23
4666,1,23029,1,0,ME,23
4667,1,23029,1,0,ME,23
4669,1,23009,1,0,ME,23
4671,1,23029,1,0,ME,23
4673,1,23009,1,0,ME,23
4674,1,23009,1,0,ME,23
4674,1,23009,1,0,ME,23
4675,1,23009,1,0,ME,23
4675,1,23009,1,0,ME,23
4676,1,23009,1,0,ME,23
4677,1,23009,1,0,ME,23
4679,1,23009,1,0,ME,23
4680,1,23029,1,0,ME,23
4681,1,23009,1,0,ME,23
4683,1,23009,1,0,ME,23
4684,1,23009,1,0,ME,23
4685,1,23009,1,0,ME,23
4691,1,23029,1,0,ME,23
4693,1,23009,1,0,ME,23
4841,1,23013,1,0,ME,23
4843,1,23013,1,0,ME,23
4848,1,23027,1,0,ME,23
4849,1,23027,1,0,ME,23
4851,1,23013,1,0,ME,23
4852,1,23015,1,0,ME,23
4853,1,23013,1,0,ME,23
4854,1,23013,1,0,ME,23
4855,1,23013,1,0,ME,23
4855,1,23013,1,0,ME,23
4856,1,23013,1,0,ME,23
4858,1,23013,1,0,ME,23
4859,1,23013,1,0,ME,23
4860,1,23013,1,0,ME,23
4861,1,23013,1,0,ME,23
4863,1,23013,1,0,ME,23
4864,1,23013,1,0,ME,23
4915,1,23027,1,0,ME,23
4974,1,23027,1,0,ME,23
4981,1,23027,1,0,ME,23
6320,1,9180,1,0,CT,9
6340,1,9180,1,0,CT,9
6355,1,9180,1,0,CT,9
6357,1,9180,1,0,CT,9
6371,1,9130,1,0,CT,9
6378,1,9180,1,0,CT,9
6379,1,9180,1,0,CT,9
6385,1,9180,1,0,CT,9
6390,1,36103,0,1,NY,36
6405,1,9170,1,0,CT,9
6412,1,9130,1,0,CT,9
6413,1,9130,1,0,CT,9
6417,1,9130,1,0,CT,9
6426,1,9130,1,0,CT,9
6437,1,9170,1,0,CT,9
6443,1,9170,1,0,CT,9
6460,1,9170,1,0,CT,9
6461,1,9170,1,0,CT,9
6473,1,9170,1,0,CT,9
6475,1,9130,1,0,CT,9
6498,1,9130,1,0,CT,9
6511,1,9170,1,0,CT,9
6512,1,9170,1,0,CT,9
6513,1,9170,1,0,CT,9
6516,1,9170,1,0,CT,9
6517,1,9170,1,0,CT,9
6519,1,9170,1,0,CT,9
6604,1,9120,1,0,CT,9
6605,1,9120,1,0,CT,9
6606,1,9120,1,0,CT,9
6607,1,9120,1,0,CT,9
6608,1,9120,1,0,CT,9
6614,1,9120,1,0,CT,9
6615,1,9120,1,0,CT,9
6807,1,9190,1,0,CT,9
6820,1,9190,1,0,CT,9
6824,1,9120,1,0,CT,9
6830,1,9190,1,0,CT,9
6850,1,9190,1,0,CT,9
6851,1,9190,1,0,CT,9
6853,1,9190,1,0,CT,9
6854,1,9190,1,0,CT,9
6855,1,9190,1,0,CT,9
6870,1,9190,1,0,CT,9
6878,1,9190,1,0,CT,9
6880,1,9190,1,0,CT,9
6890,1,9120,1,0,CT,9
6901,1,9190,1,0,CT,9
6902,1,9190,1,0,CT,9
7002,1,34017,1,0,NJ,34
7008,1,34023,1,0,NJ,34
7020,1,34003,1,0,NJ,34
7022,1,34003,1,0,NJ,34
7024,1,34003,1,0,NJ,34
7026,1,34003,1,0,NJ,34
7029,1,34017,1,0,NJ,34
7030,1,34017,1,0,NJ,34
7031,1,34003,1,0,NJ,34
7032,1,34017,1,0,NJ,34
7036,1,34039,1,0,NJ,34
7047,1,34017,1,0,NJ,34
7057,1,34003,1,0,NJ,34
7064,1,34023,1,0,NJ,34
7070,1,34003,1,0,NJ,34
7071,1,34003,1,0,NJ,34
7072,1,34003,1,0,NJ,34
7073,1,34003,1,0,NJ,34
7074,1,34003,1,0,NJ,34
7075,1,34003,1,0,NJ,34
7077,1,34023,1,0,NJ,34
7086,1,34017,1,0,NJ,34
7087,1,34017,1,0,NJ,34
7093,1,34017,1,0,NJ,34
7094,1,34017,1,0,NJ,34
7102,1,34013,1,0,NJ,34
7104,1,34013,1,0,NJ,34
7105,1,34013,1,0,NJ,34
7109,1,34013,1,0,NJ,34
7110,1,34013,1,0,NJ,34
7114,1,34013,1,0,NJ,34
7201,1,34039,1,0,NJ,34
7202,1,34039,1,0,NJ,34
7206,1,34039,1,0,NJ,34
7302,1,34017,1,0,NJ,34
7304,1,34017,1,0,NJ,34
7305,1,34017,1,0,NJ,34
7306,1,34017,1,0,NJ,34
7307,1,34017,1,0,NJ,34
7310,1,34017,1,0,NJ,34
7311,1,34017,1,0,NJ,34
7601,1,34003,1,0,NJ,34
7603,1,34003,1,0,NJ,34
7604,1,34003,1,0,NJ,34
7605,1,34003,1,0,NJ,34
7608,1,34003,1,0,NJ,34
7620,1,34003,1,0,NJ,34
7631,1,34003,1,0,NJ,34
7632,1,34003,1,0,NJ,34
7643,1,34003,1,0,NJ,34
7650,1,34003,1,0,NJ,34
7657,1,34003,1,0,NJ,34
7660,1,34003,1,0,NJ,34
7666,1,34003,1,0,NJ,34
7670,1,34003,1,0,NJ,34
7701,1,34025,1,0,NJ,34
7702,1,34025,1,0,NJ,34
7703,1,34025,1,0,NJ,34
7704,1,34025,1,0,NJ,34
7711,1,34025,1,0,NJ,34
7712,1,34025,1,0,NJ,34
7716,1,34025,1,0,NJ,34
7717,1,34025,1,0,NJ,34
7718,1,34025,1,0,NJ,34
7719,1,34025,1,0,NJ,34
7720,1,34025,1,0,NJ,34
7723,1,34025,1,0,NJ,34
7724,1,34025,1,0,NJ,34
7730,1,34025,1,0,NJ,34
7730,1,34025,1,0,NJ,34
7732,1,34025,1,0,NJ,34
7734,1,34025,1,0,NJ,34
7735,1,34025,1,0,NJ,34
7737,1,34025,1,0,NJ,34
7738,1,34025,1,0,NJ,34
7739,1,34025,1,0,NJ,34
7740,1,34025,1,0,NJ,34
7748,1,34025,1,0,NJ,34
7750,1,34025,1,0,NJ,34
7753,1,34025,1,0,NJ,34
7755,1,34025,1,0,NJ,34
7756,1,34025,1,0,NJ,34
7757,1,34025,1,0,NJ,34
7758,1,34025,1,0,NJ,34
7760,1,34025,1,0,NJ,34
7762,1,34025,1,0,NJ,34
7764,1,34025,1,0,NJ,34
8005,1,34029,1,0,NJ,34
8006,1,34029,1,0,NJ,34
8008,1,34029,1,0,NJ,34
8014,1,34015,1,0,NJ,34
8023,1,34033,1,0,NJ,34
8027,1,34015,1,0,NJ,34
8030,1,34007,1,0,NJ,34
8038,1,34033,1,0,NJ,34
8050,1,34029,1,0,NJ,34
8061,1,34015,1,0,NJ,34
8063,1,34015,1,0,NJ,34
8066,1,34015,1,0,NJ,34
8067,1,34033,1,0,NJ,34
8069,1,34033,1,0,NJ,34
8070,1,34033,1,0,NJ,34
8079,1,34033,1,0,NJ,34
8085,1,34015,1,0,NJ,34
8086,1,34015,1,0,NJ,34
8087,1,34029,1,0,NJ,34
8092,1,34029,1,0,NJ,34
8093,1,34015,1,0,NJ,34
8102,1,34007,1,0,NJ,34
8103,1,34007,1,0,NJ,34
8104,1,34007,1,0,NJ,34
8105,1,34007,1,0,NJ,34
8110,1,34007,1,0,NJ,34
8201,1,34001,1,0,NJ,34
8202,1,34009,1,0,NJ,34
8203,1,34001,1,0,NJ,34
8204,1,34009,1,0,NJ,34
8205,1,34001,1,0,NJ,34
8210,1,34009,1,0,NJ,34
8212,1,34009,1,0,NJ,34
8221,1,34001,1,0,NJ,34
8223,1,34009,1,0,NJ,34
8225,1,34001,1,0,NJ,34
8226,1,34009,1,0,NJ,34
8230,1,34009,1,0,NJ,34
8232,1,34001,1,0,NJ,34
