fips,county_name,statecode,state,STATE_FIPS,County_FIPS,region,czcty,fema,watershed,shore,shore100,Warehousing_TR_60,Minerals_LDB,urbaninfluence,NonParticipating,ruralurban,Warehousing_NAICS
24047,Worcester,24,MD,24,47,Mid-Atlantic,1,1,1,1,0,1,0,5,0,4,6
24510,Baltimore (city),24,MD,24,510,Mid-Atlantic,1,1,1,1,0,1,0,1,0,1,6
25001,Barnstable,25,MA,25,1,Northeast,1,1,1,1,1,1,0,2,1,3,6
25005,Bristol,25,MA,25,5,Northeast,1,1,1,1,0,1,0,1,1,1,6
25007,Dukes,25,MA,25,7,Northeast,1,1,1,1,1,1,0,12,1,7,6
25009,Essex,25,MA,25,9,Northeast,1,1,1,1,0,1,0,1,1,1,6
25017,Middlesex,25,MA,25,17,Northeast,1,1,1,0,0,0,0,1,1,1,6
25019,Nantucket,25,MA,25,19,Northeast,1,1,1,1,1,1,0,11,1,7,6
25021,Norfolk,25,MA,25,21,Northeast,1,1,1,1,0,1,0,1,1,1,4
25023,Plymouth,25,MA,25,23,Northeast,1,1,1,1,0,1,0,1,1,1,6
25025,Suffolk,25,MA,25,25,Northeast,1,1,1,1,0,1,0,1,1,1,6
26001,Alcona,26,MI,26,1,Great Lakes,1,0,1,1,0,1,0,10,1,9,6
26003,Alger,26,MI,26,3,Great Lakes,1,1,1,1,1,1,0,9,1,9,6
26005,Allegan,26,MI,26,5,Great Lakes,1,1,1,1,0,1,0,5,1,4,6
26007,Alpena,26,MI,26,7,Great Lakes,1,1,1,1,0,1,0,8,1,7,6
26009,Antrim,26,MI,26,9,Great Lakes,1,1,1,1,0,1,0,10,1,8,6
26011,Arenac,26,MI,26,11,Great Lakes,1,1,1,1,0,1,0,7,1,8,6
26013,Baraga,26,MI,26,13,Great Lakes,1,1,1,1,0,1,0,10,1,9,6
26017,Bay,26,MI,26,17,Great Lakes,1,1,1,1,0,1,0,2,1,3,6
26019,Benzie,26,MI,26,19,Great Lakes,1,1,1,1,0,1,0,8,1,3,6
26021,Berrien,26,MI,26,21,Great Lakes,1,1,1,1,0,1,0,2,1,3,6
26029,Charlevoix,26,MI,26,29,Great Lakes,1,1,1,1,0,1,0,11,1,7,6
26031,Cheboygan,26,MI,26,31,Great Lakes,1,1,1,1,0,1,0,11,1,7,6
26033,Chippewa,26,MI,26,33,Great Lakes,1,1,1,1,0,1,0,8,1,7,6
26041,Delta,26,MI,26,41,Great Lakes,1,1,1,1,1,1,0,8,1,5,6
26047,Emmet,26,MI,26,47,Great Lakes,1,1,1,1,0,1,0,11,1,7,6
26053,Gogebic,26,MI,26,53,Great Lakes,1,1,1,1,0,1,0,11,1,7,6
26055,Grand Traverse,26,MI,26,55,Great Lakes,1,1,1,1,0,1,0,8,1,3,6
26061,Houghton,26,MI,26,61,Great Lakes,1,1,1,1,0,1,0,8,1,5,6
26063,Huron,26,MI,26,63,Great Lakes,1,1,1,1,0,1,0,11,1,9,6
